0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,62.48
10,128.38
11,180.62
12,184.8
13,155.4
14,94.67
15,21.8
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,57.38
10,118.85
11,163.4
12,175.02
13,148.3
14,90.05
15,21.4
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,66.62
10,140.36
11,179.92
12,197.73
13,168.77
14,106
15,27.05
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,63.33
10,126.38
11,173.58
12,206.58
13,176.35
14,113.08
15,30.92
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,4.52
9,67.73
10,147
11,197.33
12,197.15
13,170.12
14,107.33
15,29.15
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,4.1
9,61.58
10,146.18
11,187.7
12,199.62
13,171.85
14,109.62
15,31.02
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,4.48
9,60.88
10,136.45
11,186.55
12,222.23
13,191.83
14,126.38
15,39.75
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,5.3
9,68.77
10,146.38
11,192.83
12,204.85
13,171.92
14,109.9
15,35.62
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,5.45
9,68.88
10,148.25
11,198.77
12,222.1
13,193.35
14,128.62
15,43.67
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,6.8
9,79.27
10,164.4
11,219.8
12,235.58
13,208.6
14,141.88
15,51.8
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,8.05
9,85.15
10,170.85
11,225.27
12,238.6
13,210.38
14,143.73
15,54.55
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,7.85
9,81.73
10,165.02
11,207.45
12,229.85
13,200.9
14,134.88
15,50.52
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,6.52
9,68.2
10,142.55
11,190.9
12,201.55
13,172.8
14,110.4
15,40.92
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,8.15
9,76.73
10,154.62
11,205.12
12,219.35
13,195.42
14,134.6
15,55.05
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,8.62
9,79.42
10,158.77
11,209.88
12,223.1
13,195.9
14,134
15,56.62
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,8.95
9,79.35
10,158.77
11,211.95
12,254.1
13,229.23
14,161.55
15,73.1
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,9.35
9,74.88
10,176.35
11,212.98
12,240.48
13,224.52
14,162.2
15,79.27
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,13.77
9,101.55
10,189.55
11,245.42
12,260.38
13,232.77
14,166.75
15,73.62
16,4.5
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,11.9
9,87.45
10,169.4
11,224.2
12,239.08
13,213.23
14,152.75
15,67.88
16,4.55
17,0
18,0
19,0
20,0
21,0
22,0
23,0
0,0
1,0
2,0
3,0
